,time stamp,Head X position,Head Y position,Head Z position,Head X rotation,Head Y rotation,Head Z rotation,Lhand X position,Lhand Y position,Lhand Z position,Lhand X rotation,Lhand Y rotation,Lhand Z rotation,Rhand X position,Rhand Y position,Rhand Z position,Rhand X rotation,Rhand Y rotation,Rhand Z rotation
,3/28/2022 12:17:41 PM,3.273057,1.617684,-1.54433,0.4302576,0.2966371,-0.08985288,3.412639,1.300188,-1.330067,-0.1259361,0.4951224,-0.3319168,1.937771,1.757422,-1.442226,0,0.6958967,0
,3/28/2022 12:17:41 PM,3.272833,1.617909,-1.544326,0.4302687,0.2965323,-0.08979972,3.412979,1.300406,-1.330323,-0.1301255,0.4945803,-0.3341997,1.938155,1.757422,-1.440108,0,0.6964805,0
,3/28/2022 12:17:41 PM,3.27248,1.618122,-1.544265,0.4295335,0.2965395,-0.08891346,3.412889,1.300271,-1.330438,-0.135353,0.4928144,-0.3361184,1.938206,1.757422,-1.439829,0,0.6965532,0
,3/28/2022 12:17:41 PM,3.27212,1.618327,-1.544198,0.4287354,0.2965469,-0.08795205,3.412741,1.300099,-1.330527,-0.1405225,0.490936,-0.3379232,1.938209,1.757422,-1.439813,0,0.6965532,0
,3/28/2022 12:17:41 PM,3.271862,1.618473,-1.54415,0.4281643,0.2965518,-0.08726458,3.412636,1.299977,-1.33059,-0.1442156,0.4895829,-0.3392065,1.938211,1.757422,-1.439801,0,0.6965532,0
,3/28/2022 12:17:41 PM,3.271148,1.618572,-1.543948,0.4283126,0.2951024,-0.08653388,3.411572,1.299937,-1.330272,-0.149647,0.4835297,-0.3419195,1.937692,1.757422,-1.442662,0,0.6957684,0
,3/28/2022 12:17:41 PM,3.270807,1.618684,-1.543829,0.4283296,0.2949347,-0.08644936,3.411576,1.299892,-1.330509,-0.1563701,0.4780111,-0.3447164,1.937923,1.757422,-1.441385,0,0.6961249,0
,3/28/2022 12:17:41 PM,3.269989,1.618809,-1.54362,0.4283841,0.2932822,-0.08555415,3.410442,1.299847,-1.330125,-0.1617314,0.4720697,-0.3469826,1.937384,1.757422,-1.444363,0,0.695307,0
,3/28/2022 12:17:41 PM,3.269619,1.618935,-1.543586,0.4279366,0.292746,-0.08500805,3.410435,1.299817,-1.329993,-0.1624307,0.4726562,-0.3452834,1.937527,1.757422,-1.443591,0,0.6955203,0
,3/28/2022 12:17:41 PM,3.268883,1.619092,-1.543485,0.4274624,0.2912104,-0.08389305,3.409718,1.29978,-1.329481,-0.1629576,0.4725767,-0.343327,1.93722,1.757422,-1.445271,0,0.6950564,0
,3/28/2022 12:17:41 PM,3.26828,1.619365,-1.543486,0.4270952,0.290015,-0.08331181,3.409702,1.299718,-1.329577,-0.1613487,0.4736018,-0.342938,1.937226,1.757422,-1.445305,0,0.6950477,0
,3/28/2022 12:17:41 PM,3.267887,1.619638,-1.543535,0.4266776,0.2894641,-0.08307052,3.410221,1.299656,-1.329938,-0.1599173,0.4752295,-0.3425005,1.937568,1.757422,-1.44339,0,0.6955759,0
,3/28/2022 12:17:41 PM,3.267501,1.619907,-1.543658,0.4261221,0.289132,-0.08277214,3.410712,1.299563,-1.330153,-0.1574704,0.4771745,-0.3416844,1.937867,1.757422,-1.441686,0,0.6958842,0
,3/28/2022 12:17:41 PM,3.267099,1.620123,-1.543863,0.4254615,0.2889228,-0.08228566,3.410841,1.299435,-1.329983,-0.1536586,0.4790468,-0.3404404,1.937906,1.757422,-1.44148,0,0.6955446,0
,3/28/2022 12:17:41 PM,3.266728,1.620406,-1.544156,0.4245878,0.289138,-0.0818534,3.411333,1.299285,-1.329949,-0.1493933,0.481549,-0.3389254,1.938188,1.757422,-1.439928,0,0.6955446,0
